Num_Acc,dep,cluster_kmeans,cluster_bisecting,cluster_gmm
202400000244,95,0,1,3
202400000245,95,2,0,2
202400000246,95,2,2,2
202400000247,95,0,0,3
202400000248,91,1,3,4
202400000249,91,2,0,4
202400000250,91,0,0,3
202400000251,84,0,1,3
202400000252,83,0,1,0
202400000253,82,1,3,2
202400000254,79,3,3,4
202400000255,77,0,1,3
202400000256,77,1,3,4
202400000257,74,0,1,0
202400000258,74,2,2,2
202400000259,69,2,0,2
202400000260,69,0,1,3
202400000261,67,2,0,2
202400000262,64,3,1,0
202400000263,64,0,0,3
202400000264,64,2,2,2
202400000265,64,2,2,2
202400000266,59,2,2,2
202400000267,59,0,1,3
202400000268,59,0,0,3
202400000269,56,2,0,4
202400000270,56,2,0,4
202400000271,49,2,2,2
202400000272,45,2,0,2
202400000273,45,2,0,4
202400000274,43,2,2,2
202400000275,27,2,2,2
202400000276,26,0,1,3
202400000277,25,1,3,4
202400000278,25,2,2,2
202400000279,25,2,2,2
202400000280,25,2,2,2
202400000281,13,0,1,3
202400000282,13,0,0,0
202400000283,13,0,1,3
202400000284,11,2,2,2
202400000285,10,2,2,2
202400000286,10,2,2,2
202400000287,10,2,2,2
202400000288,10,2,2,2
202400000289,06,2,2,2
202400000290,01,2,2,2
202400000291,01,2,0,2
202400000292,01,0,1,3
202400000293,75,2,2,2
202400000294,75,2,2,2
202400000295,75,2,2,1
202400000296,75,2,2,2
202400000297,75,0,1,0
202400000298,33,4,4,3
202400000299,75,2,2,2
202400000300,33,4,4,4
202400000301,75,2,2,2
202400000302,75,2,2,2
202400000303,91,4,4,4
202400000304,75,0,1,3
202400000305,92,1,4,4
202400000306,95,4,4,4
202400000307,75,0,1,3
202400000308,95,4,4,4
202400000309,75,0,1,0
202400000310,94,3,3,4
202400000311,75,2,2,2
202400000312,94,4,4,4
202400000313,75,2,2,2
202400000314,75,2,2,2
202400000315,974,4,4,4
202400000316,75,2,2,2
202400000317,974,0,1,3
202400000318,75,2,2,2
202400000319,973,0,1,3
202400000320,75,2,2,2
202400000321,75,0,1,3
202400000322,69,0,1,0
202400000323,69,2,2,2
202400000324,75,2,2,2
202400000325,972,2,0,4
202400000326,94,2,0,4
202400000327,69,2,2,1
202400000328,94,2,2,2
202400000329,69,2,2,2
